iso3c,country,gdp_pc_mean,log_gdp_mean
,High income,49075.93612790619,10.801124094416751
,Low income,2401.4305936423343,7.783819919434818
,Lower middle income,5954.995028923386,8.691985647015482
,Upper middle income,13899.110803789623,9.539580146122168
ABW,Aruba,37301.40524982006,10.526786279180161
AFE,Africa Eastern and Southern,3890.932699217313,8.266404176308962
AFG,Afghanistan,2393.032483577012,7.7803166622320425
AFW,Africa Western and Central,5379.081611073482,8.590272934322766
AGO,Angola,9690.19837648316,9.17887017696454
ALB,Albania,12634.610802596075,9.444195216229236
AND,Andorra,61317.40919611851,11.023819081540635
ARB,Arab World,15319.598767354546,9.636888252831154
ARE,United Arab Emirates,78915.03222655029,11.276127011203336
ARG,Argentina,25820.177846419585,10.158911552309506
ARM,Armenia,11585.118844912622,9.35747669533027
ATG,Antigua and Barbuda,27053.281034890373,10.205563572108993
AUS,Australia,53465.33393978647,10.886788759122554
AUT,Austria,59993.06655544445,11.001984277117707
AZE,Azerbaijan,16357.102281062056,9.70241747228428
BDI,Burundi,1015.5073209925438,6.923143590243634
BEL,Belgium,56524.53393721383,10.942430051861649
BEN,Benin,2926.21882447368,7.981466365001656
BFA,Burkina Faso,1966.63097851161,7.584077194541531
BGD,Bangladesh,4842.15480677905,8.485115108647197
BGR,Bulgaria,22665.147943023538,10.028583690731699
BHR,Bahrain,54494.76297711525,10.905859883871164
BHS,"Bahamas, The",33528.46912151699,10.420150181439645
BIH,Bosnia and Herzegovina,13061.881600713092,9.477453466014316
BLR,Belarus,22036.881382151558,10.000472755167555
BLZ,Belize,12035.060142916704,9.395579347538852
BMU,Bermuda,101575.33785225093,11.528556046986266
BOL,Bolivia,9719.520507122568,9.181891565694748
BRA,Brazil,17060.528752944218,9.744522814290123
BRB,Barbados,21419.611201307896,9.97206219263756
BRN,Brunei Darussalam,88847.48413215575,11.39467651728044
BTN,Bhutan,10286.117232987468,9.23855042360488
BWA,Botswana,15777.109117875909,9.666315378496192
CAF,Central African Republic,1219.983748380053,7.106592816638621
CAN,Canada,53884.769731804125,10.89460315169535
CEB,Central Europe and the Baltics,29941.561535426936,10.30700281210545
CHE,Switzerland,74640.0911197999,11.22043305631094
CHL,Chile,24607.739348433515,10.11081628010174
CHN,China,12212.433726356407,9.410209869630595
CIV,Cote d'Ivoire,4857.01745115948,8.488179835330742
CMR,Cameroon,4440.826747197623,8.398595842416187
COD,"Congo, Dem. Rep.",1224.5679099192132,7.110343334159609
COG,"Congo, Rep.",7692.425665323091,8.94799144388309
COL,Colombia,14682.69632214593,9.59442495847336
COM,Comoros,3216.294782504459,8.075985287324734
CPV,Cabo Verde,6971.9646447996165,8.849652335600034
CRI,Costa Rica,19466.548325155833,9.87645280094253
CSS,Caribbean small states,23232.03371224856,10.053287368736097
CUW,Curacao,31433.72774185583,10.35563672733567
CYM,Cayman Islands,78015.45495228011,11.264662226458357
CYP,Cyprus,41660.228190104164,10.637302192238852
CZE,Czechia,39936.46094225835,10.595044993686187
DEU,Germany,56799.765893778225,10.947287483112337
DJI,Djibouti,5511.563768133255,8.614603667350636
DMA,Dominica,16361.155470629179,9.702665235451782
DNK,Denmark,62775.5710115058,11.0473212801454
DOM,Dominican Republic,16137.073749936733,9.688874621169289
DZA,Algeria,14195.953099213504,9.560712209957993
EAP,East Asia & Pacific (excluding high income),11302.815849855668,9.332807163910411
EAR,Early-demographic dividend,8644.618614028805,9.064692280779724
EAS,East Asia & Pacific,14970.854642486305,9.613860566130528
