country_name_qog,iso3c,ethnic_frac
Afghanistan,AFG,0.7507970333099365
Albania,ALB,0.0965999960899353
Algeria,DZA,0.3199999928474426
Andorra,AND,NA
Angola,AGO,0.7560999989509583
Antigua and Barbuda,ATG,NA
Azerbaijan,AZE,0.18754702806472776
Argentina,ARG,0.2548999786376953
Australia,AUS,0.14850395917892456
Austria,AUT,0.12563103437423706
Bahamas (the),BHS,NA
Bahrain,BHR,0.550599992275238
Bangladesh,BGD,0.22334998846054077
Armenia,ARM,0.1337999701499939
Barbados,BRB,NA
Belgium,BEL,0.5670000314712524
Bhutan,BTN,0.6050000190734863
Bolivia (Plurinational State of),BOL,0.743399977684021
Bosnia and Herzegovina,BIH,0.6805059909820557
Botswana,BWA,0.3513000011444092
Brazil,BRA,0.5494999885559082
Belize,BLZ,NA
Solomon Islands,SLB,NA
Brunei Darussalam,BRN,NA
Bulgaria,BGR,0.29948514699935913
Myanmar,MMR,0.5215089917182922
Burundi,BDI,0.32760000228881836
Belarus,BLR,0.3716540336608886
Cambodia,KHM,0.18625003099441528
Cameroon,CMR,0.8866750001907349
Canada,CAN,0.5963400602340698
Cabo Verde,CPV,NA
Central African Republic (the),CAF,0.7906500101089478
Sri Lanka,LKA,0.4284709692001343
Chad,TCD,0.7724820375442505
Chile,CHL,0.49699997901916504
China,CHN,0.15359997749328613
Taiwan (Province of China),TWN,0.2744000554084778
Colombia,COL,0.656000018119812
Comoros (the),COM,NA
Congo (the),COG,0.8776999711990356
Congo (the Democratic Republic of the),COD,0.9325550198554992
Costa Rica,CRI,0.23759996891021729
Croatia,HRV,0.375154972076416
Cuba,CUB,0.2134000062942505
Cyprus,CYP,0.35920006036758423
Czechia,CZE,0.3215950131416321
Benin,BEN,0.6222779750823975
Denmark,DNK,0.12754398584365845
Dominica,DMA,NA
Dominican Republic (the),DOM,0.38679999113082886
Ecuador,ECU,0.6549999713897705
El Salvador,SLV,0.19780004024505615
Equatorial Guinea,GNQ,NA
Ethiopia,ETH,0.7602660059928894
Eritrea,ERI,0.6468000411987305
Estonia,EST,0.5110499858856201
Fiji,FJI,0.5657309293746948
Finland,FIN,0.1315000057220459
France,FRA,0.27207398414611816
Djibouti,DJI,0.6058000326156616
Gabon,GAB,0.8574999570846558
Georgia,GEO,0.4901257753372192
Gambia (the),GMB,0.7640789747238159
Germany,DEU,0.09492301940917967
Ghana,GHA,0.8460500240325928
Kiribati,KIR,NA
Greece,GRC,0.05866694450378418
Grenada,GRD,NA
Guatemala,GTM,0.4927999973297119
Guinea,GIN,0.6691000461578369
Guyana,GUY,0.6195629835128784
Haiti,HTI,0.09500002861022948
Honduras,HND,0.18501102924346924
Hungary,HUN,0.18642401695251465
Iceland,ISL,NA
India,IND,0.8109886050224304
Indonesia,IDN,0.7657838463783264
Iran (Islamic Republic of),IRN,0.6687999963760376
Iraq,IRQ,0.5489610433578491
Ireland,IRL,0.1709999442100525
Israel,ISR,0.5255329608917236
Italy,ITA,0.0395999550819397
Côte d'Ivoire,CIV,0.7838000059127808
Jamaica,JAM,0.1664019227027893
Japan,JPN,0.01196396350860595
Kazakhstan,KAZ,0.6643589735031128
Jordan,JOR,0.5091750025749207
Kenya,KEN,0.8520439863204956
Korea (the Democratic People's Republic of),PRK,0.00199896097183227
Korea (the Republic of),KOR,0.00399595499038696
Kuwait,KWT,0.7084000110626221
Kyrgyzstan,KGZ,0.6793580055236816
Lao People's Democratic Republic (the),LAO,0.4810999631881714
Lebanon,LBN,0.7799000144004822
Lesotho,LSO,0.25499993562698364
Latvia,LVA,0.5850499868392944
Liberia,LBR,0.8991820216178894
Libya,LBY,0.15109997987747192
Liechtenstein,LIE,NA
Lithuania,LTU,0.3376390337944031
Luxembourg,LUX,NA
Madagascar,MDG,0.8614820241928101
Malawi,MWI,0.8288999795913696
Malaysia,MYS,0.5956299304962158
Maldives,MDV,NA
Mali,MLI,0.754351019859314
Malta,MLT,NA
Mauritania,MRT,0.624500036239624
Mauritius,MUS,0.6315310001373291
Mexico,MEX,0.5417789220809937
Monaco,MCO,NA
Mongolia,MNG,0.27177494764328003
Moldova (the Republic of),MDA,0.5103009939193726
Montenegro,MNE,NA
Morocco,MAR,0.4786999821662903
Mozambique,MOZ,0.7652819752693176
Oman,OMN,0.4390199780464173
Namibia,NAM,0.7244080305099487
Nauru,NRU,NA
Nepal,NPL,0.6766780018806458
Netherlands (the),NLD,0.07680004835128784
Vanuatu,VUT,NA
New Zealand,NZL,0.36346596479415894
Nicaragua,NIC,0.4018000364303589
Niger (the),NER,0.6368999481201172
Nigeria,NGA,0.8048000335693359
Norway,NOR,0.0975000262260437
Micronesia (Federated States of),FSM,NA
Palau,PLW,NA
Pakistan,PAK,0.5320999622344971
Panama,PAN,0.5066999793052673
