country_name,iso3c,volatility,mean_democracy,n_years,total_decline,avg_decline,n_declines,had_backsliding,n_episodes
Afghanistan,AFG,0.0724628840525782,0.14100000000000001,24,0.20199999999999999,0.02244444444444444,9,TRUE,0
Albania,ALB,0.027443089993763405,0.42791666666666667,24,0.08300000000000002,0.006916666666666668,12,FALSE,0
Algeria,DZA,0.01343152251613529,0.15233333333333332,24,0.05600000000000001,0.007000000000000001,8,FALSE,0
Angola,AGO,0.030328604903000718,0.11620833333333333,24,0.010000000000000009,0.003333333333333336,3,FALSE,0
Argentina,ARG,0.03169210458069367,0.6277083333333333,24,0.1170000000000001,0.009000000000000008,13,FALSE,0
Armenia,ARM,0.1420633406393894,0.27308333333333334,24,0.253,0.025300000000000003,10,TRUE,0
Australia,AUS,0.022896585404562075,0.8279166666666666,24,0.122,0.012199999999999999,10,FALSE,0
Austria,AUT,0.012506230331376818,0.7938333333333334,24,0.06900000000000006,0.008625000000000008,8,FALSE,0
Azerbaijan,AZE,0.007092428091414397,0.06970833333333333,24,0.034000000000000016,0.0028333333333333344,12,FALSE,0
Bahrain,BHR,NA,NA,22,0.05699999999999999,0.0071249999999999985,8,FALSE,0
Bangladesh,BGD,0.06379608308815914,0.15687500000000001,24,0.2840000000000001,0.02028571428571429,14,TRUE,0
Barbados,BRB,0.008010409893798618,0.6634166666666667,24,0.027000000000000024,0.0030000000000000027,9,FALSE,0
Belarus,BLR,0.024284992682008726,0.09025,24,0.094,0.008545454545454547,11,TRUE,0
Belgium,BEL,0.011753507031360121,0.8306666666666667,24,0.06699999999999995,0.006699999999999995,10,FALSE,0
Benin,BEN,0.09332690518753989,0.47020833333333334,24,0.386,0.0386,10,TRUE,0
Bhutan,BTN,0.1580638973712021,0.38125,24,0.10600000000000004,0.013250000000000005,8,FALSE,0
Bolivia,BOL,0.08575385021144508,0.415375,24,0.35400000000000004,0.020823529411764706,17,TRUE,0
Bosnia and Herzegovina,BIH,0.03239017116975143,0.3804166666666667,24,0.13399999999999995,0.008933333333333331,15,FALSE,0
Botswana,BWA,0.05544046290874772,0.5805833333333333,24,0.203,0.015615384615384616,13,TRUE,0
Brazil,BRA,0.08923222227846633,0.7062916666666667,24,0.265,0.024090909090909093,11,TRUE,0
Bulgaria,BGR,0.0391166733048042,0.577875,24,0.20499999999999996,0.01464285714285714,14,FALSE,0
Burkina Faso,BFA,0.08524439503016003,0.36945833333333333,24,0.45799999999999996,0.057249999999999995,8,TRUE,0
Burma/Myanmar,MMR,0.0963268797045933,0.09279166666666666,24,0.24600000000000002,0.08200000000000002,3,TRUE,0
