iso3c,coef,se
AFG,0.01737573217521756,0.007437964015676237
ALB,0.017467433817608666,0.007419925354351353
DZA,0.01706496093245984,0.00740732764998912
AGO,0.017051730349658935,0.007423881312419401
ARG,0.01743751822488955,0.007444911878598318
ARM,0.016191321235056233,0.0073137571042301095
AUS,0.01692614961197814,0.007448178525555185
AUT,0.016753020135185252,0.007459997171051145
AZE,0.01701547509631281,0.007400357849664078
BGD,0.01745448560786069,0.0075250615498888085
BRB,0.017071301199304757,0.007397134218356788
BLR,0.01710085273822959,0.0074211743474811714
BEL,0.016928883344000722,0.007448569065581966
BEN,0.01722530591897723,0.007409089277710135
BTN,0.016674419374559584,0.007221918692588266
BOL,0.01689368778577932,0.007399107071200931
BIH,0.017214167592852454,0.007435830529423859
BWA,0.017045152100951016,0.00743565496058365
BRA,0.016489853183012406,0.007428602860258944
BGR,0.017076675749441213,0.007423322892812946
BFA,0.0173321526446184,0.007425083967366067
MMR,0.017608782242106304,0.007403365442315408
BDI,0.016594948079261138,0.007480411251929788
KHM,0.018922261693963122,0.007491198617481843
CMR,0.01682817874140644,0.007417171579551165
CAN,0.016901254418602598,0.007449832584647483
CPV,0.017071301199304757,0.007397134218356788
CAF,0.01670106310702146,0.007456024163640742
TCD,0.016579112159459477,0.007431411979769946
CHL,0.017651523571563202,0.007463552370045633
CHN,0.016798331924913097,0.007419401772325852
COL,0.01701013591025795,0.007433240688218697
COM,0.017071301199304757,0.007397134218356788
CRI,0.018059198484071188,0.007423905802636776
HRV,0.017091942031650313,0.007425035072838124
CYP,0.01796473532753458,0.00755953078521623
CZE,0.017120998044493307,0.007430548033434309
COD,0.016672023035404757,0.007460297711298306
DNK,0.016629175925809855,0.007449695457286927
DJI,0.01672859609294229,0.007401486464956033
DOM,0.017080456025972666,0.007427264874439422
ECU,0.016865006228931417,0.007403610377913671
EGY,0.01702075891913553,0.007412987822371857
SLV,0.017038351027286503,0.007389461743669239
GNQ,0.017071301199304757,0.007397134218356788
EST,0.017301529302369233,0.007411347213245193
SWZ,0.016800746129903687,0.007395889351080129
ETH,0.022242716517869795,0.007736991750993442
FJI,0.01640478935189309,0.007396573335426849
FIN,0.016684158424898225,0.007438911750541816
FRA,0.01678828155611482,0.007437448712512479
GAB,0.01718141540978529,0.007421288162295218
GEO,0.016780202719300554,0.007378463281739557
DEU,0.01684054415148093,0.0074508415920576335
GHA,0.017170540431531316,0.007417303258760656
GRC,0.017223549375104053,0.0074175805512790025
GTM,0.017116578284745547,0.007422082961112696
GIN,0.019166204523416594,0.007635740894786634
GNB,0.017026255110006466,0.007438033455893601
GUY,0.017071217929026824,0.0074232903199702455
HTI,0.017012583204845,0.007438671147447285
HND,0.017015538683920122,0.007424978235176334
HUN,0.017997027387618318,0.007120418151582023
ISL,0.017071301199304757,0.007397134218356788
IND,0.015234232527824954,0.007528931216918635
IDN,0.01702897026051144,0.007427429613145813
IRN,0.0170786779992704,0.007419805050734144
IRQ,0.016832844843713723,0.007418611743810856
IRL,0.016700618549128337,0.007485086514923038
ISR,0.017028377785966088,0.007434335951864394
