iso3c,coef,se
AFG,0.020198933291919116,0.00766686437391417
ALB,0.020471560561223092,0.00765481235609412
DZA,0.01988480913923978,0.007637472484884007
AGO,0.019860124888866727,0.007654904828517114
ARG,0.020276441995687337,0.007675857506663468
ARM,0.018856651244065558,0.007551059901515001
AUS,0.019753661444984593,0.007680228582221361
AUT,0.019581149786115522,0.007694118535217941
AZE,0.01982851923932491,0.007630443918760761
BHR,0.019945090706809537,0.007664729601972552
BGD,0.02049876595356488,0.007779416559496869
BRB,0.0198921283128265,0.007626887236692603
BLR,0.019921465387572522,0.007651694905611828
BEL,0.019752897920626962,0.0076802444646834785
BEN,0.020032521025632823,0.00763823207428337
BTN,0.019450021151456737,0.007444979312088044
BOL,0.01976397656827343,0.007630610352098734
BIH,0.020106031608267246,0.007671078318051658
BWA,0.019887891410174694,0.007670826077002139
BRA,0.019289467246840553,0.007660858516679253
BGR,0.019905852020817183,0.007654166795698225
BFA,0.020147884944634677,0.007653768017026196
MMR,0.020436141854458953,0.007631461410335769
BDI,0.019406846639078906,0.007714690515423989
KHM,0.022202403557351896,0.007738384736975798
CMR,0.0196574887362903,0.007646519631763698
CAN,0.019723221304944957,0.007681269782690834
CPV,0.0198921283128265,0.007626887236692603
CAF,0.019539231861820237,0.007684832023258469
TCD,0.019412431428114725,0.007660556343103297
CHL,0.020514588055353142,0.007695769942373519
CHN,0.019605939361620237,0.007651153935241957
COL,0.019832213153343447,0.00766503213219591
COM,0.0198921283128265,0.007626887236692603
CRI,0.020926209662800285,0.007654065651122887
HRV,0.019907333708697086,0.007655381185267456
CYP,0.020346810387697815,0.0077074464311178825
CZE,0.019941205494494407,0.007660934790081829
COD,0.01947054447872469,0.007691916302557889
DNK,0.01944983151253243,0.007682989389000793
DJI,0.019554594923411876,0.0076309074000740764
DOM,0.019902652428843544,0.0076582065230372766
ECU,0.01967009136182281,0.007634304272874767
EGY,0.019837849460226212,0.007643612595521753
SLV,0.019854589343551114,0.007618239737264721
GNQ,0.0198921283128265,0.007626887236692603
EST,0.02013615279728021,0.0076418565097587645
SWZ,0.01961932151599405,0.007625955652950627
ETH,0.0264398930116045,0.00802914068214816
FJI,0.01917438271570464,0.007632657105976607
FIN,0.01950163177662255,0.007671380210498135
FRA,0.01960752819037844,0.007668927124679757
GAB,0.020015249105885563,0.007651719415194135
GEO,0.019582645754971786,0.0076078159276197896
DEU,0.019668355270364594,0.007684039077903833
GHA,0.020011827066248034,0.0076482945570531214
GRC,0.0200404019627925,0.007647594391316486
GTM,0.01994233079771302,0.007652913246601109
GIN,0.01958824965445705,0.007664059008263757
GNB,0.019850371696257044,0.007667758107708774
GUY,0.019891644543157984,0.007654069264781618
HTI,0.019844481394068504,0.007669616578846885
HND,0.019839472727741107,0.007655816206813179
HUN,0.020770639014919594,0.007339116367177435
ISL,0.0198921283128265,0.007626887236692603
IND,0.018023940173920734,0.007800110874119965
IDN,0.01984837394708645,0.007659054923743632
IRN,0.019893939825839216,0.007649884829089595
IRQ,0.019620714967587508,0.00765565302447869
IRL,0.019541720921981226,0.007722058660220373
ISR,0.019847004077210344,0.00766442713760024
ITA,0.019600752906743683,0.0076757047373365375
CIV,0.0198605492904915,0.0076548095820007595
JAM,0.020766250217013508,0.007713975466855531
JPN,0.019609710076489737,0.007658643751738568
JOR,0.01987948100995883,0.007653011718875893
KAZ,0.0200203424709721,0.0076490178841174825
KEN,0.0199138860980663,0.0076538166505478
KWT,0.020214634546906623,0.007682016551590869
KGZ,0.01999500384635917,0.007651265227618348
LAO,0.01979987344875142,0.007645280723244511
LVA,0.0199091860814291,0.007651821842643498
LBN,0.019911364504495634,0.007654212467884683
LSO,0.02258304021896819,0.008039531082303363
LBR,0.020615614977228393,0.007584797041449825
LBY,0.019915189756373408,0.007643825976854631
LTU,0.02076179793064562,0.007683203799165173
LUX,0.0198921283128265,0.007626887236692603
MDG,0.02006351947238549,0.007674822746405148
MWI,0.01971636606769331,0.00766232749901401
MYS,0.020147959318930875,0.007646803124456387
MDV,0.0198921283128265,0.007626887236692603
MLI,0.020218256723758897,0.0076368893728947776
MLT,0.0198921283128265,0.007626887236692603
MRT,0.01981467832528133,0.007655703422482813
MUS,0.01949769246240203,0.007618686832432064
MEX,0.019814171375301424,0.007667387338275103
MDA,0.01961254701951303,0.0076175405721120165
MNG,0.020069752579042695,0.007650718591875753
MAR,0.019760829505207002,0.007626777373293816
MOZ,0.019367860929966077,0.007663209373259224
NAM,0.02012193445365118,0.00764920309744421
NPL,0.016447111145094277,0.007884789244722955
NLD,0.019547596695050396,0.007696883641027239
NZL,0.01965426898053426,0.007651356226586552
NIC,0.020373304911745563,0.007547459224096571
NER,0.01995090817363757,0.0076702515609173745
NGA,0.01986633559315341,0.007653064026551943
MKD,0.019796465451681306,0.007652434603593354
NOR,0.01964161394153822,0.007740243334157102
OMN,0.020088719693226013,0.007654868520381066
PAK,0.0198427097651453,0.007643826188235381
PAN,0.020511820607116028,0.0076526740286002965
PRY,0.020012363158043348,0.007649232860712306
PER,0.01928401137245518,0.007628581796173922
PHL,0.019881359224955552,0.0076537066109668315
POL,0.01785897321385024,0.007504128055969423
PRT,0.02008965087021149,0.007626671096925218
QAT,0.0198921283128265,0.007626887236692603
COG,0.019777672166163843,0.007645921108184813
ROU,0.019606894344249982,0.007670760676962319
RUS,0.019882791305210135,0.007658624933937352
RWA,0.01884831226404238,0.0076403839199788
SAU,0.02011266856607542,0.007656867515806659
SEN,0.019879306708265918,0.007644724485944548
SLE,0.020144776805703618,0.0076476033058783255
SGP,0.02081134912379614,0.007885969760182422
SVK,0.019855096694978428,0.007640623840503808
SVN,0.019974786935992743,0.007661002993888623
SLB,0.0198921283128265,0.007626887236692603
SOM,0.019404015177144438,0.007695804988404877
ZAF,0.020048174173764706,0.007655374882530506
KOR,0.019630464302467687,0.0077035599190756
ESP,0.019815449724792076,0.007663427376266325
LKA,0.019817388021840538,0.00763813403507904
SDN,0.0198921283128265,0.007626887236692603
SUR,0.0198921283128265,0.007626887236692603
SWE,0.01954623972734733,0.007674047415126995
CHE,0.019814786554969724,0.007712105408940044
SYR,0.019635693092500153,0.007645156470392189
TJK,0.019331864404217775,0.007659652446786032
TZA,0.01974364391849656,0.007647386969828652
THA,0.019704716011409145,0.0075550783018930034
GMB,0.021031904260620207,0.00749018556186207
TLS,0.0198921283128265,0.007626887236692603
TGO,0.019817405075792636,0.007661753741965307
TTO,0.019808368305624723,0.00765087696429098
TUN,0.019564192016585026,0.006959833318583439
TKM,0.019687271919663952,0.007636668085383969
TUR,0.02066623517755234,0.007369392407229331
UGA,0.019522146810137773,0.007649949990430231
UKR,0.019832294370895665,0.007653293015014501
ARE,0.020039986320017463,0.007674792528619228
GBR,0.019650767055261392,0.007668133665729342
USA,0.01994255448453717,0.007752938991358722
URY,0.020647946116123233,0.0076829411700067695
UZB,0.019652791727776328,0.007651549329134968
VUT,0.0198921283128265,0.007626887236692603
VNM,0.01971560026834311,0.0076434277879256565
ZMB,0.01985122592515146,0.0076567858576045995
ZWE,0.019461402079160355,0.007648865041070869
